REAL DATA,TREE0008.1,TREE0008.5,TREE0008.9,TREE0004.1,TREE0004.5,TREE0004.9,TREE0002.1,TREE0002.5,TREE0002.9,TREE0001.1,TREE0001.5,TREE0001.9
0.041925533,0.045516284,0.062079603,0.090155107,0.053426153,0.058721364,0.087258797,0.052987798,0.062573351,0.089208738,0.049958967,0.059948341,0.086134248
0.052422977,0.052550119,0.059835016,0.08604448,0.04950631,0.063344762,0.086212848,0.054270342,0.059830346,0.085451431,0.05071452,0.064881988,0.09044335
0.041103771,0.044708213,0.061340618,0.09001292,0.045941267,0.056766917,0.087555856,0.047229982,0.058971019,0.078832147,0.051556723,0.060015218,0.091064753
0.026511527,0.049302605,0.065155165,0.087025845,0.05148471,0.062014641,0.084229214,0.047028272,0.064722117,0.100535575,0.048729044,0.065660332,0.089899413
0.024438638,0.049538616,0.064257123,0.085248226,0.049304929,0.055850181,0.094346583,0.044090355,0.062019115,0.097979661,0.052579547,0.058769101,0.087380775
0.019972657,0.047585582,0.060108258,0.090242058,0.04491033,0.054752507,0.085581259,0.05462815,0.058757096,0.091039542,0.048543579,0.057370793,0.083898283
0.035000207,0.049679452,0.057117585,0.092554795,0.050869174,0.061189588,0.086663562,0.047761707,0.057562903,0.086244103,0.049150286,0.054786865,0.085080204
0.044665047,0.045923878,0.060231074,0.083771738,0.046035624,0.053724627,0.085209654,0.053955454,0.063280997,0.085111485,0.046764155,0.065741215,0.083897072
0.033579702,0.050840904,0.06196771,0.087893864,0.052265037,0.064367576,0.094430385,0.044422415,0.067385361,0.088759891,0.048162012,0.068335229,0.086037814
0.033066499,0.041684655,0.060161034,0.091019631,0.044419766,0.059757937,0.085739639,0.049794407,0.057478457,0.083410495,0.04908649,0.053535916,0.09136805
0.036158256,0.048421494,0.061571924,0.079893983,0.051939321,0.060051319,0.087042725,0.04498916,0.061538236,0.087748449,0.049875028,0.055210508,0.088875925
